"area_fips","year","qtr","employment","wages","avg_wage_per_employee"
"01000",2023,1,"4474927.33","67807803464","16489.559482296744"
"01001",2023,1,"23402.66","287628262","13946.4023000967705948"
"01003",2023,1,"160626.00","1926352476","13386.6628400380522185"
"01005",2023,1,"15524.00","170964262","12619.7344403827216336"
"01007",2023,1,"9610.00","122363080","13895.3255457004588861"
"01009",2023,1,"17580.01","186167652","11576.2096955952144243"
"01011",2023,1,"5270.01","61267848","13552.4212470213053345"
"01013",2023,1,"13743.34","147865718","12342.6827774795973418"
"01015",2023,1,"87455.33","1127883034","13759.5819201292146655"
"01017",2023,1,"17199.34","202181308","12769.5287911492421698"
"01019",2023,1,"10500.66","113496804","12096.9903330286329206"
"01021",2023,1,"18488.66","212219704","12231.4552083202151525"
"01023",2023,1,"6693.33","93494224","12253.4062409882445363"
"01025",2023,1,"16305.99","202835262","13587.8283166960133374"
"01027",2023,1,"8451.34","91583834","11330.8788591416920747"
"01029",2023,1,"5006.00","66867192","13625.4591047383816717"
"01031",2023,1,"33391.34","368638636","12687.3617660341880876"
"01033",2023,1,"47806.67","684072920","16956.1222751458621230"
"01035",2023,1,"6399.33","68929668","12023.2433275172532709"
"01037",2023,1,"3061.33","36664944","11630.1504919230217059"
"01039",2023,1,"23918.00","270350430","12769.5894402968440983"
"01041",2023,1,"6822.00","73437906","11557.3591121466440810"
"01043",2023,1,"61097.34","759166914","13150.6742066672970985"
"01045",2023,1,"35706.67","537588504","14213.8648675359437001"
"01047",2023,1,"22588.00","261701038","12899.9134995446579413"
"01049",2023,1,"44692.00","547914584","12440.0003978180881653"
"01051",2023,1,"40821.34","449548402","13216.7056245815782807"
"01053",2023,1,"25312.66","326928772","14235.1308968167275216"
"01055",2023,1,"64867.33","719324574","13072.2213305293287571"
"01057",2023,1,"7918.00","85849054","10958.9732886783614836"
"01059",2023,1,"21487.35","245076468","12265.2874309265599246"
"01061",2023,1,"10799.34","112299516","11640.5073184216350108"
"01063",2023,1,"3426.66","34354790","10571.9343969588208144"
"01065",2023,1,"5159.34","59945476","12289.8797063098231359"
"01067",2023,1,"7707.34","91455896","11915.9490306838678200"
"01069",2023,1,"99976.67","1292294118","14298.9687705117178538"
"01071",2023,1,"30558.67","356187700","13646.9402182556678364"
"01073",2023,1,"717794.67","13061029656","18395.7238869236806848"
"01075",2023,1,"6840.00","83957466","11885.9496318091195551"
"01077",2023,1,"60976.00","699041548","13435.4466842153324061"
"01079",2023,1,"10513.34","123429384","13520.7032605103059701"
"01081",2023,1,"127612.67","1614172114","15303.4683720944064026"
"01083",2023,1,"65424.67","926179350","18415.0375192239655059"
"01085",2023,1,"5860.66","104890912","15349.7331656090691411"
"01087",2023,1,"9212.67","120608968","14074.4381154965753032"
"01089",2023,1,"440336.00","8160571340","19696.2186548318418848"
"01091",2023,1,"14655.34","189943004","12721.5895641285882098"
"01093",2023,1,"22310.66","245691524","12232.7136503919664549"
"01095",2023,1,"79585.34","915857526","13179.5556905604372871"
"01097",2023,1,"341662.00","4958446554","16583.0461523293816240"
"01099",2023,1,"11902.66","153743202","13044.2879635708599716"
"01101",2023,1,"258743.34","3749870494","15780.2689060983383507"
"01103",2023,1,"102826.66","1536231296","15235.8827320508344870"
"01105",2023,1,"3534.66","34124822","10693.1747426812286691"
"01107",2023,1,"7347.33","85697998","13041.4474453853486475"
"01109",2023,1,"30573.34","372437876","13286.0681378194487506"
"01111",2023,1,"9653.33","102932752","11690.9353448231724697"
"01113",2023,1,"27298.67","336342140","12557.0745436313567257"
"01115",2023,1,"41501.34","513966102","13630.3701227487928984"
"01117",2023,1,"171317.34","2949095758","16207.1888618866213941"
"01119",2023,1,"5857.34","66553336","12044.1633341886412235"
"01121",2023,1,"63180.00","848389142","13888.0248073966142137"
"01123",2023,1,"24906.67","278132072","12860.3257892283261826"
"01125",2023,1,"193534.00","2823925230","16262.3802352609409048"
"01127",2023,1,"36438.66","439944348","12846.0954284364073701"
"01129",2023,1,"12321.34","278850870","16329.8551386450998488"
"01131",2023,1,"5204.67","67976588","12827.6645500086290816"
"01133",2023,1,"15573.33","182592898","12787.9937965308764456"
"01999",2023,1,"160636.00","3650169230","19394.4497598086944906"
"02000",2023,1,"691534.66","11645327772","17151.308341197774"
"02013",2023,1,"5103.33","84334496","15264.8587862013199210"
"02016",2023,1,"8097.33","162706432","20797.8282414028048964"
"02020",2023,1,"282479.33","5006661332","18248.9405872711269046"
"02050",2023,1,"12597.35","162923074","15685.3065567919879994"
"02060",2023,1,"1059.34","19524146","19502.8385008414040504"
"02063",2023,1,"5992.67","106483532","17684.5070773431539774"
"02066",2023,1,"1820.00","24373194","14890.8928141471496455"
"02068",2023,1,"1864.00","31023152","17270.6643474536888761"
"02070",2023,1,"3594.66","55336758","16781.1705986618638746"
