area_fips,year,qtr,employment,wages,avg_wage_per_employee,state_name,county_name
10001,2023,1,82587.33,1126599397,15982.9586898844716122,Delaware,Kent County
10003,2023,1,590939.33,12488561672,19959.1123745636028791,Delaware,New Castle County
10005,2023,1,162415.33,2175317226,14973.0362437410961620,Delaware,Sussex County
11001,2023,1,1500703.99,45642775090,29660.2243274229364926,District of Columbia,District of Columbia
11001,2023,1,1500703.99,45642775090,29660.2243274229364926,District of Columbia,District of Columbia
12001,2023,1,276424.00,4089132738,17242.2270866579629640,Florida,Alachua County
12003,2023,1,15176.66,156330074,11811.4813379485211618,Florida,Baker County
12005,2023,1,157377.34,2006576220,14124.0956356574746729,Florida,Bay County
12007,2023,1,12394.01,141686088,12849.3151793068412662,Florida,Bradford County
12009,2023,1,473646.00,7930639420,16625.9679255497608381,Florida,Brevard County
12011,2023,1,1697475.34,30516694134,18019.8746597612939945,Florida,Broward County
12013,2023,1,6200.00,59771772,10960.3678749429576714,Florida,Calhoun County
12015,2023,1,107112.66,1396664790,14290.3560980795729000,Florida,Charlotte County
12017,2023,1,69069.34,793765816,12201.8751631494618312,Florida,Citrus County
12019,2023,1,111096.00,1417004704,13110.4640995418854289,Florida,Clay County
12021,2023,1,335008.00,5593536182,16859.6413478820806904,Florida,Collier County
12023,2023,1,49430.66,610858032,13942.5779866686091288,Florida,Columbia County
12027,2023,1,19898.66,229984990,13922.0943970458949738,Florida,DeSoto County
12029,2023,1,5776.00,62440008,11299.6691703602030239,Florida,Dixie County
12031,2023,1,1105444.66,20096339078,17255.4303846935992794,Florida,Duval County
12033,2023,1,288404.66,4175524762,14388.3799724362577769,Florida,Escambia County
12035,2023,1,54084.66,635593406,12809.4054406986491488,Florida,Flagler County
12037,2023,1,6859.34,68205210,11897.9580592050438653,Florida,Franklin County
12039,2023,1,36467.33,415016800,12547.9949407351820177,Florida,Gadsden County
12041,2023,1,7271.33,79053108,11765.1897572533894037,Florida,Gilchrist County
12043,2023,1,3937.34,54093742,13681.4336079872933223,Florida,Glades County
12045,2023,1,8509.34,100551136,12583.2374620716984686,Florida,Gulf County
12047,2023,1,5968.66,86553232,13913.8817119350025445,Florida,Hamilton County
12049,2023,1,14716.66,163408596,12398.5810372760417097,Florida,Hardee County
12051,2023,1,25674.66,312142872,12871.5941626633252379,Florida,Hendry County
12053,2023,1,98551.99,1150216136,13185.3183852202028217,Florida,Hernando County
12055,2023,1,58110.66,670905348,12711.0519907078055089,Florida,Highlands County
12057,2023,1,1543737.34,29012917404,18381.628869348481,Florida,Hillsborough County
12059,2023,1,7303.99,69860682,11219.7340138941801055,Florida,Holmes County
12061,2023,1,114474.00,1610442088,14713.2155486742127707,Florida,Indian River County
12063,2023,1,29666.00,329234828,12615.2855866899714418,Florida,Jackson County
12065,2023,1,5785.33,59270982,11627.3099918255835008,Florida,Jefferson County
12067,2023,1,2733.99,29497592,11611.5041072380887472,Florida,Lafayette County
12069,2023,1,226838.66,2801629700,13744.6862646307545884,Florida,Lake County
12071,2023,1,584608.67,9103705588,16386.8445676038031651,Florida,Lee County
12073,2023,1,316588.66,4483182666,15313.0294501516702882,Florida,Leon County
12075,2023,1,18670.00,190517558,11669.2363778943102474,Florida,Levy County
12077,2023,1,3760.00,44745378,12819.1182149169345280,Florida,Liberty County
12079,2023,1,9786.66,96949496,11255.9151218111713243,Florida,Madison County
12081,2023,1,281286.00,4068643854,14525.0372512306134509,Florida,Manatee County
12083,2023,1,233396.00,2893556420,13675.3220403792394718,Florida,Marion County
12085,2023,1,150807.99,2132185500,14729.5529481206173684,Florida,Martin County
12086,2023,1,2442002.00,48253912010,19107.6808648522517394,Florida,Miami-Dade County
12087,2023,1,91624.00,1310318300,15452.6126828395163432,Florida,Monroe County
12089,2023,1,52411.34,693958994,17469.2058110985321361,Florida,Nassau County
12091,2023,1,179309.33,2688918872,14929.9865363255000835,Florida,Okaloosa County
12093,2023,1,23963.33,273683150,13429.8368476380039252,Florida,Okeechobee County
12095,2023,1,1853177.34,31033265360,17404.904542395102,Florida,Orange County
12097,2023,1,220255.34,2774883752,13413.0830129212296164,Florida,Osceola County
12099,2023,1,1311827.99,25610927384,19211.6693573430545653,Florida,Palm Beach County
12101,2023,1,279016.01,3705912746,14497.6897982858092781,Florida,Pasco County
12103,2023,1,902653.33,14561065298,16672.8121147951189363,Florida,Pinellas County
12105,2023,1,515819.34,6946613468,14236.0339693849149434,Florida,Polk County
12107,2023,1,33691.99,422319362,13641.2183344130497461,Florida,Putnam County
12109,2023,1,189427.34,2962545248,15483.1881188220206864,Florida,St. Johns County
12111,2023,1,176765.33,2287758700,14676.3078337673665593,Florida,St. Lucie County
12113,2023,1,85209.33,1020032526,13122.9620079415546668,Florida,Santa Rosa County
12115,2023,1,372011.34,5727922396,16380.0910230457197422,Florida,Sarasota County
