"state_name","county_name","year","qtr","total_establishments","total_employment","total_wages","avg_weekly_wage"
"Michigan","Huron County",2023,1,"2178","21679.3333333333333334","259010938","919.03"
"Kansas","Ness County",2023,1,"292","2220.6666666666666666","24917702","863.14"
"Louisiana","East Baton Rouge Parish",2023,1,"37942","527848.0000000000010000","8507827472","1239.84"
"Illinois","Ford County",2023,1,"712","10782.0000000000000001","145802270","1040.21"
"Wisconsin","Shawano County",2023,1,"2026","23462.0000000000000000","258543212","847.67"
"Missouri","Phelps County",2023,1,"2568","37986.0000000000000000","448134434","907.49"
"Missouri","Jackson County",2023,1,"49550","732364.6666666666670000","12793042958","1343.70"
"Texas","Bee County",2023,1,"1152","16722.6666666666666666","200434290","921.98"
"Oregon","Wallowa County",2023,1,"978","5301.3333333333333333","65305714","947.59"
"Kentucky","Cumberland County",2023,1,"352","4355.3333333333333333","51393092","907.70"
"Georgia","Butts County",2023,1,"1102","16761.3333333333333334","189954100","871.76"
"North Dakota","Dickey County",2023,1,"502","3307.3333333333333333","37930778","882.21"
"New York","New York County",2023,1,"259460","4808747.333333333333","245282870916","3923.66"
"Kentucky","Carroll County",2023,1,"732","15835.3333333333333333","293801714","1427.20"
"Tennessee","Sequatchie County",2023,1,"594","6869.3333333333333334","70561246","790.15"
"Wisconsin","Taylor County",2023,1,"1006","15602.0000000000000001","187564106","924.75"
"Massachusetts","Plymouth County",2023,1,"35692","376761.3333333333336667","6611488344","1349.86"
"Ohio","Geauga County",2023,1,"6328","68954.6666666666663333","942650602","1051.58"
"New Mexico","Bernalillo County",2023,1,"43572","680849.333333333334","10357042170","1170.15"
"Vermont","Bennington County",2023,1,"3668","32721.3333333333340000","465751984","1094.91"
"Wisconsin","Door County",2023,1,"2624","24284.6666666666666666","273655360","866.82"
"New Mexico","Chaves County",2023,1,"3684","42540.6666666666663334","479863394","867.70"
"Kansas","Sherman County",2023,1,"526","4652.0000000000000000","49228120","814.01"
"West Virginia","Hancock County",2023,1,"1540","17824.6666666666666667","222669436","960.94"
"North Carolina","Onslow County",2023,1,"8414","105385.9999999999996667","1165167970","850.48"
"Wisconsin","Adams County",2023,1,"790","7915.3333333333333333","84170350","817.99"
"Minnesota","Wabasha County",2023,1,"1192","12536.6666666666666667","144637714","887.47"
"Louisiana","Madison Parish",2023,1,"532","6165.9999999999999999","54282834","677.20"
"Kansas","McPherson County",2023,1,"1920","32234.0000000000003333","494422528","1179.89"
"New Jersey","Cumberland County",2023,1,"7154","118199.9999999999996667","1624831512","1057.42"
"Massachusetts","Nantucket County",2023,1,"2624","11180.00000000000000000000","214343459","1474.77"
"Iowa","Davis County",2023,1,"506","4395.3333333333333334","54104320","946.88"
"North Dakota","Griggs County",2023,1,"218","1592.0000000000000001","17687454","854.63"
"North Carolina","Person County",2023,1,"1622","19197.3333333333333333","235049626","941.84"
"Illinois","Stark County",2023,1,"276","2764.0000000000000001","36445756","1014.30"
