"state_name","year","qtr","total_establishments","total_employment","total_wages","avg_weekly_wage"
"Georgia",2023,1,"644022","9111048.00000000000266600000","159045737446","1342.80"
"District of Columbia",2023,1,"198640","3001407.9999999999986666","91285550180","2339.56"
"Texas",2023,1,"1492224","25974780.33333333332933330000","489854996317","1450.68"
"Tennessee",2023,1,"386738","6163773.3333333333353329","99435266782","1240.94"
"Maryland",2023,1,"318786","5077532.6666666666663335","98065321782","1485.66"
"Wyoming",2023,1,"58276","531267.33333333333533330000","7876464105","1140.45"
"South Dakota",2023,1,"77738","863117.99999999999999940000","12128754191","1080.94"
"Montana",2023,1,"113608","962634.6666666666680002","13171198762","1052.50"
"New York",2023,1,"1277728","18307752.6666666666686666","477675659044","2007.03"
"Kansas",2023,1,"189716","2772641.3333333333336670","41358958870","1147.45"
"Oklahoma",2023,1,"241240","3240899.99999999999966700000","46281367697","1098.49"
"North Carolina",2023,1,"658870","9095579.3333333333326663","153627785034","1299.26"
"Minnesota",2023,1,"337158","5515226.6666666666666671","101997630948","1422.60"
"Rhode Island",2023,1,"84728","924130.0000000000006666","15627393950","1300.80"
"Vermont",2023,1,"59798","589716.00000000000066640000","9121129448","1189.77"
"Massachusetts",2023,1,"534404","6913461.66666666666900030000","170299918953","1894.85"
"Maine",2023,1,"115122","1183764.6666666666656666","17770669414","1154.77"
"Florida",2023,1,"1584774","18314404.6666666666669995","304778130068","1280.11"
"New Mexico",2023,1,"121306","1636444.6666666666670000","23244589498","1092.64"
"New Jersey",2023,1,"532010","7843674.6666666666670002","166722330538","1635.05"
"Washington",2023,1,"467930","6907972.33333333333299960000","153702769196","1711.54"
"Ohio",2023,1,"622026","10406239.3333333333350001","166783756684","1232.87"
"Idaho",2023,1,"152978","1592464.6666666666683331","21897798956","1057.76"
"Missouri",2023,1,"407612","5421265.3333333333356665","84021895034","1192.20"
"Virginia",2023,1,"603658","7549612.0000000000003333","140717856670","1433.78"
"Utah",2023,1,"264518","3327770.0000000000006662","53969922600","1247.54"
"Nevada",2023,1,"184468","2933312.6666666666683332","46964197288","1231.59"
"West Virginia",2023,1,"100822","1299298.6666666666676656","17570852010","1040.26"
"North Dakota",2023,1,"68490","817579.99999999999899990000","12868358682","1210.74"
"Mississippi",2023,1,"133902","2192352.6666666666646676","26412316788","926.73"
"Pennsylvania",2023,1,"664112","11112037.33333333333266670000","194893063740","1349.15"
"Delaware",2023,1,"83882","835941.99999999999966660000","15790478295","1453.03"
"Hawaii",2023,1,"95666","1240325.00000000000099990000","19553790858","1212.70"
"Michigan",2023,1,"520268","8222432.33333333333400030000","136456017222","1276.58"
"New Hampshire",2023,1,"89826","1249435.00000000000066680000","21896876276","1348.11"
"Iowa",2023,1,"220204","2986656.00000000000300030000","45352273813","1168.07"
"Wisconsin",2023,1,"325512","5480102.00000000000000020000","84271506127","1182.90"
"South Carolina",2023,1,"286502","4194139.66666666666699980000","59799056475","1096.75"
"Illinois",2023,1,"638656","11117052.66666666667000040000","223012371391","1543.11"
"Oregon",2023,1,"352298","3865897.3333333333363333","66302016454","1319.27"
"Kentucky",2023,1,"288296","3826565.99999999999799910000","56108359040","1127.91"
"Nebraska",2023,1,"128630","1899434.66666666666699930000","28009019490","1134.31"
"Louisiana",2023,1,"300108","3693125.33333333333433350000","54532828583","1135.85"
"Indiana",2023,1,"333192","6037031.3333333333349995","92751361148","1181.83"
