"state_name","year","qtr","total_wage_change","avg_wage_growth_pct"
"Georgia",2023,1,"13378591096","14.48"
"District of Columbia",2023,1,"5480008064","8.46"
"Texas",2023,1,"54255333127","11.49"
"Tennessee",2023,1,"9569790640","13.51"
"Maryland",2023,1,"9234831366","17.84"
"Wyoming",2023,1,"774334756","10.62"
"South Dakota",2023,1,"1051663398","10.92"
"Montana",2023,1,"1477195929","10.79"
"New York",2023,1,"26113826016","12.40"
"Kansas",2023,1,"4367999350","15.00"
"Oklahoma",2023,1,"5338223904","15.75"
"North Carolina",2023,1,"13349784148","7.71"
"Minnesota",2023,1,"7741898838","11.04"
"Rhode Island",2023,1,"1259066656","14.82"
"Vermont",2023,1,"876985122","10.91"
"Massachusetts",2023,1,"10393556339","11.48"
"Maine",2023,1,"1538244182","11.21"
"Florida",2023,1,"36662356458","14.98"
"New Mexico",2023,1,"2719175054","14.06"
"New Jersey",2023,1,"11430882778","8.97"
"Washington",2023,1,"13762375222","11.55"
"Ohio",2023,1,"13501107404","13.51"
"Idaho",2023,1,"2537565562","16.04"
"Missouri",2023,1,"7951558176","12.64"
"Virginia",2023,1,"13225971030","14.52"
"Utah",2023,1,"5449903230","16.37"
"Nevada",2023,1,"5164032704","13.03"
"West Virginia",2023,1,"2006816370","14.18"
"North Dakota",2023,1,"1519289768","31.45"
"Mississippi",2023,1,"2065322932","12.18"
"Pennsylvania",2023,1,"15858212649","11.17"
"Delaware",2023,1,"1125792251","7.40"
"Hawaii",2023,1,"1907272491","9.08"
"Michigan",2023,1,"10773988188","11.16"
"New Hampshire",2023,1,"1748929288","9.59"
"Iowa",2023,1,"4119243801","9.73"
"Wisconsin",2023,1,"5960329912","10.62"
"South Carolina",2023,1,"6360170716","11.45"
"Illinois",2023,1,"15861318489","11.74"
"Oregon",2023,1,"5513978358","42.27"
"Kentucky",2023,1,"6350334856","14.73"
"Nebraska",2023,1,"2448818838","9.57"
"Louisiana",2023,1,"5720939972","11.42"
"Indiana",2023,1,"6897509072","8.78"
