"area_fips","industry_code","own_code","size_code","year_num","quarter_num","yoy_pct_change_employment"
"01000","10","Total Covered","All sizes",2023,1,"2.87"
"01000","10","Federal Government","All sizes",2023,1,"1.87"
"01000","10","State Government","All sizes",2023,1,"1.67"
"01000","10","Local Government","All sizes",2023,1,"2.23"
"01000","10","Private","All sizes",2023,1,"3.07"
"01000","10",NULL,"All sizes",2023,1,"2.07"
"01001","10","Total Covered","All sizes",2023,1,"3.80"
"01001","10","Federal Government","All sizes",2023,1,"7.67"
"01001","10","State Government","All sizes",2023,1,"0.57"
"01001","10","Local Government","All sizes",2023,1,"0.17"
"01001","10","Private","All sizes",2023,1,"4.77"
"01003","10","Total Covered","All sizes",2023,1,"3.50"
"01003","10","Federal Government","All sizes",2023,1,"0.73"
"01003","10","State Government","All sizes",2023,1,"0.83"
"01003","10","Local Government","All sizes",2023,1,"4.20"
"01003","10","Private","All sizes",2023,1,"3.47"
"01005","10","Total Covered","All sizes",2023,1,"0.40"
"01005","10","Federal Government","All sizes",2023,1,"1.90"
"01005","10","State Government","All sizes",2023,1,"-14.87"
"01005","10","Local Government","All sizes",2023,1,"2.03"
"01005","10","Private","All sizes",2023,1,"1.50"
"01007","10","Total Covered","All sizes",2023,1,"0.03"
"01007","10","Federal Government","All sizes",2023,1,"-7.17"
"01007","10","State Government","All sizes",2023,1,"-22.70"
"01007","10","Local Government","All sizes",2023,1,"7.53"
"01007","10","Private","All sizes",2023,1,"-0.47"
"01009","10","Total Covered","All sizes",2023,1,"1.60"
"01009","10","Federal Government","All sizes",2023,1,"5.90"
"01009","10","State Government","All sizes",2023,1,"-3.47"
"01009","10","Local Government","All sizes",2023,1,"3.13"
"01009","10","Private","All sizes",2023,1,"1.23"
"01011","10","Total Covered","All sizes",2023,1,"-2.87"
"01011","10","Federal Government","All sizes",2023,1,"8.13"
"01011","10","State Government","All sizes",2023,1,"-14.53"
"01011","10","Local Government","All sizes",2023,1,"1.97"
"01011","10","Private","All sizes",2023,1,"-2.63"
"01013","10","Total Covered","All sizes",2023,1,"6.93"
"01013","10","Federal Government","All sizes",2023,1,"3.50"
"01013","10","State Government","All sizes",2023,1,"-3.73"
"01013","10","Local Government","All sizes",2023,1,"0.47"
"01013","10","Private","All sizes",2023,1,"7.97"
"01015","10","Total Covered","All sizes",2023,1,"0.73"
"01015","10","Federal Government","All sizes",2023,1,"-9.43"
"01015","10","State Government","All sizes",2023,1,"2.73"
"01015","10","Local Government","All sizes",2023,1,"2.20"
"01015","10","Private","All sizes",2023,1,"1.57"
"01017","10","Total Covered","All sizes",2023,1,"0.37"
"01017","10","Federal Government","All sizes",2023,1,"13.63"
"01017","10","State Government","All sizes",2023,1,"-6.17"
"01017","10","Local Government","All sizes",2023,1,"-0.83"
"01017","10","Private","All sizes",2023,1,"0.67"
"01019","10","Total Covered","All sizes",2023,1,"1.03"
"01019","10","Federal Government","All sizes",2023,1,"-1.47"
"01019","10","State Government","All sizes",2023,1,"8.30"
"01019","10","Local Government","All sizes",2023,1,"0.93"
"01019","10","Private","All sizes",2023,1,"1.00"
"01021","10","Total Covered","All sizes",2023,1,"2.43"
"01021","10","Federal Government","All sizes",2023,1,"3.40"
"01021","10","State Government","All sizes",2023,1,"3.00"
"01021","10","Local Government","All sizes",2023,1,"2.07"
"01021","10","Private","All sizes",2023,1,"2.50"
"01023","10","Total Covered","All sizes",2023,1,"-2.33"
"01023","10","Federal Government","All sizes",2023,1,"8.30"
"01023","10","State Government","All sizes",2023,1,"3.50"
"01023","10","Local Government","All sizes",2023,1,"0.93"
"01023","10","Private","All sizes",2023,1,"-2.93"
"01025","10","Total Covered","All sizes",2023,1,"0.10"
"01025","10","Federal Government","All sizes",2023,1,"-5.07"
"01025","10","State Government","All sizes",2023,1,"1.40"
"01025","10","Local Government","All sizes",2023,1,"2.67"
"01025","10","Private","All sizes",2023,1,"-0.43"
"01027","10","Total Covered","All sizes",2023,1,"-1.93"
"01027","10","Federal Government","All sizes",2023,1,"15.87"
"01027","10","State Government","All sizes",2023,1,"1.27"
"01027","10","Local Government","All sizes",2023,1,"2.43"
"01027","10","Private","All sizes",2023,1,"-3.20"
"01029","10","Total Covered","All sizes",2023,1,"3.53"
"01029","10","Federal Government","All sizes",2023,1,"-3.43"
"01029","10","State Government","All sizes",2023,1,"-9.00"
"01029","10","Local Government","All sizes",2023,1,"-2.83"
"01029","10","Private","All sizes",2023,1,"7.30"
"01031","10","Total Covered","All sizes",2023,1,"1.97"
"01031","10","Federal Government","All sizes",2023,1,"-2.20"
"01031","10","State Government","All sizes",2023,1,"6.10"
"01031","10","Local Government","All sizes",2023,1,"2.67"
"01031","10","Private","All sizes",2023,1,"1.80"
"01033","10","Total Covered","All sizes",2023,1,"0.87"
"01033","10","Federal Government","All sizes",2023,1,"8.63"
"01033","10","State Government","All sizes",2023,1,"1.30"
"01033","10","Local Government","All sizes",2023,1,"0.53"
"01033","10","Private","All sizes",2023,1,"0.67"
"01035","10","Total Covered","All sizes",2023,1,"6.13"
"01035","10","Federal Government","All sizes",2023,1,"9.07"
"01035","10","State Government","All sizes",2023,1,"6.40"
"01035","10","Local Government","All sizes",2023,1,"21.43"
"01035","10","Private","All sizes",2023,1,"3.57"
"01037","10","Total Covered","All sizes",2023,1,"12.53"
"01037","10","Federal Government","All sizes",2023,1,"0.27"
"01037","10","State Government","All sizes",2023,1,"9.87"
"01037","10","Local Government","All sizes",2023,1,"0.00"
"01037","10","Private","All sizes",2023,1,"0.00"
"01039","10","Total Covered","All sizes",2023,1,"0.27"
"01039","10","Federal Government","All sizes",2023,1,"-3.63"
"01039","10","State Government","All sizes",2023,1,"1.97"
"01039","10","Local Government","All sizes",2023,1,"2.80"
"01039","10","Private","All sizes",2023,1,"-0.13"
"01041","10","Total Covered","All sizes",2023,1,"5.43"
"01041","10","Federal Government","All sizes",2023,1,"-1.43"
"01041","10","State Government","All sizes",2023,1,"2.63"
"01041","10","Local Government","All sizes",2023,1,"-0.97"
"01041","10","Private","All sizes",2023,1,"7.03"
"01043","10","Total Covered","All sizes",2023,1,"3.63"
"01043","10","Federal Government","All sizes",2023,1,"-0.67"
"01043","10","State Government","All sizes",2023,1,"4.23"
"01043","10","Local Government","All sizes",2023,1,"3.30"
"01043","10","Private","All sizes",2023,1,"3.67"
"01045","10","Total Covered","All sizes",2023,1,"2.90"
"01045","10","Federal Government","All sizes",2023,1,"6.73"
"01045","10","State Government","All sizes",2023,1,"-0.57"
"01045","10","Local Government","All sizes",2023,1,"-0.77"
"01045","10","Private","All sizes",2023,1,"2.63"
"01047","10","Total Covered","All sizes",2023,1,"-1.57"
"01047","10","Federal Government","All sizes",2023,1,"-0.97"
"01047","10","State Government","All sizes",2023,1,"-2.63"
"01047","10","Local Government","All sizes",2023,1,"-2.67"
"01047","10","Private","All sizes",2023,1,"-1.30"
"01049","10","Total Covered","All sizes",2023,1,"0.73"
"01049","10","Federal Government","All sizes",2023,1,"1.70"
"01049","10","State Government","All sizes",2023,1,"1.97"
"01049","10","Local Government","All sizes",2023,1,"4.70"
"01049","10","Private","All sizes",2023,1,"0.13"
"01051","10","Total Covered","All sizes",2023,1,"3.47"
"01051","10","Federal Government","All sizes",2023,1,"15.80"
"01051","10","State Government","All sizes",2023,1,"-6.70"
"01051","10","Local Government","All sizes",2023,1,"2.27"
"01051","10","Private","All sizes",2023,1,"4.17"
"01053","10","Total Covered","All sizes",2023,1,"2.70"
"01053","10","Federal Government","All sizes",2023,1,"8.40"
"01053","10","State Government","All sizes",2023,1,"-12.87"
"01053","10","Local Government","All sizes",2023,1,"3.20"
"01053","10","Private","All sizes",2023,1,"3.30"
"01055","10","Total Covered","All sizes",2023,1,"1.73"
"01055","10","Federal Government","All sizes",2023,1,"5.77"
"01055","10","State Government","All sizes",2023,1,"3.23"
"01055","10","Local Government","All sizes",2023,1,"-0.23"
"01055","10","Private","All sizes",2023,1,"2.00"
"01057","10","Total Covered","All sizes",2023,1,"-1.03"
"01057","10","Federal Government","All sizes",2023,1,"1.03"
"01057","10","State Government","All sizes",2023,1,"-0.57"
"01057","10","Local Government","All sizes",2023,1,"0.97"
"01057","10","Private","All sizes",2023,1,"-1.73"
"01059","10","Total Covered","All sizes",2023,1,"-0.33"
"01059","10","Federal Government","All sizes",2023,1,"2.77"
"01059","10","State Government","All sizes",2023,1,"3.87"
"01059","10","Local Government","All sizes",2023,1,"2.53"
"01059","10","Private","All sizes",2023,1,"-1.00"
"01061","10","Total Covered","All sizes",2023,1,"1.13"
"01061","10","Federal Government","All sizes",2023,1,"-4.20"
"01061","10","State Government","All sizes",2023,1,"-3.20"
"01061","10","Local Government","All sizes",2023,1,"-2.43"
"01061","10","Private","All sizes",2023,1,"2.50"
"01063","10","Total Covered","All sizes",2023,1,"4.97"
"01063","10","Federal Government","All sizes",2023,1,"4.17"
"01063","10","State Government","All sizes",2023,1,"2.77"
"01063","10","Local Government","All sizes",2023,1,"3.47"
"01063","10","Private","All sizes",2023,1,"5.60"
"01065","10","Total Covered","All sizes",2023,1,"0.63"
"01065","10","Federal Government","All sizes",2023,1,"4.57"
"01065","10","State Government","All sizes",2023,1,"5.33"
"01065","10","Local Government","All sizes",2023,1,"2.57"
"01065","10","Private","All sizes",2023,1,"-0.50"
"01067","10","Total Covered","All sizes",2023,1,"5.93"
"01067","10","Federal Government","All sizes",2023,1,"14.83"
"01067","10","State Government","All sizes",2023,1,"-5.43"
"01067","10","Local Government","All sizes",2023,1,"3.60"
"01067","10","Private","All sizes",2023,1,"6.57"
"01069","10","Total Covered","All sizes",2023,1,"2.53"
"01069","10","Federal Government","All sizes",2023,1,"-1.97"
"01069","10","State Government","All sizes",2023,1,"1.30"
"01069","10","Local Government","All sizes",2023,1,"-0.40"
"01069","10","Private","All sizes",2023,1,"3.10"
"01071","10","Total Covered","All sizes",2023,1,"1.73"
"01071","10","Federal Government","All sizes",2023,1,"1.67"
"01071","10","State Government","All sizes",2023,1,"-2.33"
"01071","10","Local Government","All sizes",2023,1,"3.93"
"01071","10","Private","All sizes",2023,1,"1.30"
"01073","10","Total Covered","All sizes",2023,1,"1.57"
"01073","10","Federal Government","All sizes",2023,1,"2.30"
"01073","10","State Government","All sizes",2023,1,"-0.10"
"01073","10","Local Government","All sizes",2023,1,"1.87"
"01073","10","Private","All sizes",2023,1,"1.67"
"01075","10","Total Covered","All sizes",2023,1,"2.17"
"01075","10","Federal Government","All sizes",2023,1,"3.00"
"01075","10","State Government","All sizes",2023,1,"-1.90"
"01075","10","Local Government","All sizes",2023,1,"2.70"
"01075","10","Private","All sizes",2023,1,"2.17"
"01077","10","Total Covered","All sizes",2023,1,"4.10"
"01077","10","Federal Government","All sizes",2023,1,"4.10"
"01077","10","State Government","All sizes",2023,1,"-0.33"
"01077","10","Local Government","All sizes",2023,1,"1.70"
"01077","10","Private","All sizes",2023,1,"4.67"
"01079","10","Total Covered","All sizes",2023,1,"5.37"
"01079","10","Federal Government","All sizes",2023,1,"-0.37"
"01079","10","State Government","All sizes",2023,1,"-4.17"
"01079","10","Local Government","All sizes",2023,1,"4.77"
"01079","10","Private","All sizes",2023,1,"6.07"
"01081","10","Total Covered","All sizes",2023,1,"5.00"
"01081","10","Federal Government","All sizes",2023,1,"11.27"
"01081","10","State Government","All sizes",2023,1,"21.60"
"01081","10","Local Government","All sizes",2023,1,"0.27"
"01081","10","Private","All sizes",2023,1,"3.67"
"01083","10","Total Covered","All sizes",2023,1,"21.03"
"01083","10","Federal Government","All sizes",2023,1,"1.20"
"01083","10","State Government","All sizes",2023,1,"-5.20"
"01083","10","Local Government","All sizes",2023,1,"10.60"
"01083","10","Private","All sizes",2023,1,"26.27"
"01085","10","Total Covered","All sizes",2023,1,"30.40"
"01085","10","Federal Government","All sizes",2023,1,"6.77"
"01085","10","State Government","All sizes",2023,1,"-0.60"
"01085","10","Local Government","All sizes",2023,1,"2.73"
"01085","10","Private","All sizes",2023,1,"38.90"
"01087","10","Total Covered","All sizes",2023,1,"4.17"
"01087","10","Federal Government","All sizes",2023,1,"-4.37"
"01087","10","State Government","All sizes",2023,1,"6.10"
"01087","10","Local Government","All sizes",2023,1,"-0.77"
"01087","10","Private","All sizes",2023,1,"9.67"
"01089","10","Total Covered","All sizes",2023,1,"3.17"
"01089","10","Federal Government","All sizes",2023,1,"1.40"
"01089","10","State Government","All sizes",2023,1,"3.23"
"01089","10","Local Government","All sizes",2023,1,"4.60"
"01089","10","Private","All sizes",2023,1,"3.17"
"01091","10","Total Covered","All sizes",2023,1,"3.97"
"01091","10","Federal Government","All sizes",2023,1,"7.27"
"01091","10","State Government","All sizes",2023,1,"-5.87"
"01091","10","Local Government","All sizes",2023,1,"5.83"
"01091","10","Private","All sizes",2023,1,"3.70"
"01093","10","Total Covered","All sizes",2023,1,"2.77"
"01093","10","Federal Government","All sizes",2023,1,"-10.63"
"01093","10","State Government","All sizes",2023,1,"-2.63"
"01093","10","Local Government","All sizes",2023,1,"1.97"
"01093","10","Private","All sizes",2023,1,"3.20"
"01095","10","Total Covered","All sizes",2023,1,"3.20"
"01095","10","Federal Government","All sizes",2023,1,"0.17"
"01095","10","State Government","All sizes",2023,1,"-1.50"
"01095","10","Local Government","All sizes",2023,1,"4.00"
"01095","10","Private","All sizes",2023,1,"3.13"
"01097","10","Total Covered","All sizes",2023,1,"0.27"
"01097","10","Federal Government","All sizes",2023,1,"1.77"
"01097","10","State Government","All sizes",2023,1,"-2.23"
"01097","10","Local Government","All sizes",2023,1,"1.90"
"01097","10","Private","All sizes",2023,1,"0.20"
"01099","10","Total Covered","All sizes",2023,1,"-5.10"
"01099","10","Federal Government","All sizes",2023,1,"-2.50"
"01099","10","State Government","All sizes",2023,1,"2.40"
"01099","10","Local Government","All sizes",2023,1,"0.43"
"01099","10","Private","All sizes",2023,1,"-6.53"
"01101","10","Total Covered","All sizes",2023,1,"2.00"
"01101","10","Federal Government","All sizes",2023,1,"0.70"
"01101","10","State Government","All sizes",2023,1,"2.63"
"01101","10","Local Government","All sizes",2023,1,"-0.67"
"01101","10","Private","All sizes",2023,1,"2.17"
"01103","10","Total Covered","All sizes",2023,1,"2.87"
"01103","10","Federal Government","All sizes",2023,1,"4.27"
"01103","10","State Government","All sizes",2023,1,"-4.70"
"01103","10","Local Government","All sizes",2023,1,"3.27"
"01103","10","Private","All sizes",2023,1,"2.90"
"01105","10","Total Covered","All sizes",2023,1,"-1.50"
"01105","10","Federal Government","All sizes",2023,1,"-7.23"
"01105","10","State Government","All sizes",2023,1,"-1.73"
"01105","10","Local Government","All sizes",2023,1,"5.07"
"01105","10","Private","All sizes",2023,1,"-3.00"
"01107","10","Total Covered","All sizes",2023,1,"1.53"
