"area_fips","industry_code","own_code","size_code","year_num","quarter_num","yoy_pct_change_wages"
"01000","10","Total Covered","All sizes",2023,1,"12.0"
"01000","10","Federal Government","All sizes",2023,1,"13.1"
"01000","10","State Government","All sizes",2023,1,"17.4"
"01000","10","Local Government","All sizes",2023,1,"10.3"
"01000","10","Private","All sizes",2023,1,"11.8"
"01000","10",NULL,"All sizes",2023,1,"12.9"
"01001","10","Total Covered","All sizes",2023,1,"12.5"
"01001","10","Federal Government","All sizes",2023,1,"19.1"
"01001","10","State Government","All sizes",2023,1,"12.0"
"01001","10","Local Government","All sizes",2023,1,"11.2"
"01001","10","Private","All sizes",2023,1,"12.7"
"01003","10","Total Covered","All sizes",2023,1,"13.8"
"01003","10","Federal Government","All sizes",2023,1,"19.9"
"01003","10","State Government","All sizes",2023,1,"19.1"
"01003","10","Local Government","All sizes",2023,1,"14.9"
"01003","10","Private","All sizes",2023,1,"13.5"
"01005","10","Total Covered","All sizes",2023,1,"7.5"
"01005","10","Federal Government","All sizes",2023,1,"19.2"
"01005","10","State Government","All sizes",2023,1,"5.4"
"01005","10","Local Government","All sizes",2023,1,"9.7"
"01005","10","Private","All sizes",2023,1,"7.3"
"01007","10","Total Covered","All sizes",2023,1,"12.8"
"01007","10","Federal Government","All sizes",2023,1,"7.1"
"01007","10","State Government","All sizes",2023,1,"7.2"
"01007","10","Local Government","All sizes",2023,1,"6.0"
"01007","10","Private","All sizes",2023,1,"14.9"
"01009","10","Total Covered","All sizes",2023,1,"7.4"
"01009","10","Federal Government","All sizes",2023,1,"23.5"
"01009","10","State Government","All sizes",2023,1,"12.9"
"01009","10","Local Government","All sizes",2023,1,"7.3"
"01009","10","Private","All sizes",2023,1,"7.0"
"01011","10","Total Covered","All sizes",2023,1,"7.6"
"01011","10","Federal Government","All sizes",2023,1,"29.3"
"01011","10","State Government","All sizes",2023,1,"11.3"
"01011","10","Local Government","All sizes",2023,1,"11.8"
"01011","10","Private","All sizes",2023,1,"6.2"
"01013","10","Total Covered","All sizes",2023,1,"14.6"
"01013","10","Federal Government","All sizes",2023,1,"20.2"
"01013","10","State Government","All sizes",2023,1,"12.7"
"01013","10","Local Government","All sizes",2023,1,"12.7"
"01013","10","Private","All sizes",2023,1,"14.9"
"01015","10","Total Covered","All sizes",2023,1,"17.2"
"01015","10","Federal Government","All sizes",2023,1,"7.1"
"01015","10","State Government","All sizes",2023,1,"11.0"
"01015","10","Local Government","All sizes",2023,1,"8.4"
"01015","10","Private","All sizes",2023,1,"21.0"
"01017","10","Total Covered","All sizes",2023,1,"11.3"
"01017","10","Federal Government","All sizes",2023,1,"26.1"
"01017","10","State Government","All sizes",2023,1,"22.3"
"01017","10","Local Government","All sizes",2023,1,"8.5"
"01017","10","Private","All sizes",2023,1,"11.7"
"01019","10","Total Covered","All sizes",2023,1,"10.4"
"01019","10","Federal Government","All sizes",2023,1,"19.3"
"01019","10","State Government","All sizes",2023,1,"23.6"
"01019","10","Local Government","All sizes",2023,1,"5.5"
"01019","10","Private","All sizes",2023,1,"11.5"
"01021","10","Total Covered","All sizes",2023,1,"12.8"
"01021","10","Federal Government","All sizes",2023,1,"30.1"
"01021","10","State Government","All sizes",2023,1,"25.6"
"01021","10","Local Government","All sizes",2023,1,"5.9"
"01021","10","Private","All sizes",2023,1,"13.7"
"01023","10","Total Covered","All sizes",2023,1,"4.5"
"01023","10","Federal Government","All sizes",2023,1,"29.8"
"01023","10","State Government","All sizes",2023,1,"12.9"
"01023","10","Local Government","All sizes",2023,1,"6.8"
"01023","10","Private","All sizes",2023,1,"4.0"
"01025","10","Total Covered","All sizes",2023,1,"5.5"
"01025","10","Federal Government","All sizes",2023,1,"16.2"
"01025","10","State Government","All sizes",2023,1,"21.8"
