"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","qtrly_estabs","avg_qtrly_employment","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","wages_per_employee"
"01000",0,"10",50,0,2023,1,"154111","2052254.33","31034848235","11381874485","65424337","1163","15122.320723568538"
"01000",1,"10",51,0,2023,1,"1255","56025.33","1328849544","0","0","1825","23718.726242890121"
"01000",2,"10",51,0,2023,1,"1432","97078.00","1627300803","222666","445","1289","16762.817559076207"
"01000",3,"10",51,0,2023,1,"3754","217315.33","2781956647","106242668","345510","985","12801.474264739718"
"01000",5,"10",51,0,2023,1,"147670","1681835.67","25296741241","11275409151","65078382","1157","15041.149229007115"
"01000",8,"10",96,0,2023,1,"6441","370418.67","5738106994","106465334","345955","1192","15490.868874498765"
"01001",0,"10",70,0,2023,1,"1053","11701.33","143814131","56210438","379858","945","12290.4054523701002735"
"01001",1,"10",71,0,2023,1,"10","90.00","1563860","0","0","1337","17376.2222222222222222"
"01001",2,"10",71,0,2023,1,"20","548.33","8695126","0","0","1220","15857.3726443768996970"
"01001",3,"10",71,0,2023,1,"32","1842.33","22387373","130075","260","935","12151.6408539895060614"
"01001",5,"10",71,0,2023,1,"991","9220.67","111167772","56080363","379598","927","12056.3703275251247198"
"01003",0,"10",70,0,2023,1,"8100","80313.00","963176238","447517507","2492648","923","11992.781218482686"
"01003",1,"10",71,0,2023,1,"33","392.00","7020231","0","0","1378","17908.7525510204081633"
"01003",2,"10",71,0,2023,1,"38","1058.67","13250315","0","0","963","12516.0406171284634757"
"01003",3,"10",71,0,2023,1,"91","9334.00","118102162","5220475","11193","973","12652.8992929076494536"
"01003",5,"10",71,0,2023,1,"7938","69528.33","824803530","442297032","2481455","913","11862.840520651054"
"01005",0,"10",70,0,2023,1,"586","7762.00","85482131","40931750","196985","847","11012.9001545993300696"
"01005",1,"10",71,0,2023,1,"9","54.00","904962","0","0","1289","16758.5555555555555556"
"01005",2,"10",71,0,2023,1,"19","456.33","6315220","0","0","1065","13839.0504017531044568"
"01005",3,"10",71,0,2023,1,"30","956.67","10215884","518410","1135","821","10678.6243902439024387"
"01005",5,"10",71,0,2023,1,"528","6295.00","68046065","40413340","195850","832","10809.5416997617156473"
"01007",0,"10",70,0,2023,1,"419","4805.00","61181540","25072597","166919","979","12732.8907388137356920"
"01007",1,"10",71,0,2023,1,"9","63.67","1158198","0","0","1399","18191.5916230366492051"
"01007",2,"10",71,0,2023,1,"13","175.00","2706565","0","0","1190","15466.0857142857142857"
"01007",3,"10",71,0,2023,1,"31","1048.00","10142455","457790","916","744","9677.9150763358778626"
"01007",5,"10",71,0,2023,1,"366","3518.33","47174322","24614807","166003","1031","13408.1445760303173853"
"01009",0,"10",70,0,2023,1,"925","8790.00","93083826","40685818","199482","815","10589.7412969283276451"
"01009",1,"10",71,0,2023,1,"10","84.67","1337719","0","0","1215","15799.8307086614173166"
"01009",2,"10",71,0,2023,1,"11","148.67","1575100","0","0","815","10594.8430493273542577"
"01009",3,"10",71,0,2023,1,"43","1918.67","19734504","839102","1630","791","10285.5302293259207781"
"01009",5,"10",71,0,2023,1,"861","6638.00","70436503","39846716","197852","816","10611.1031937330521241"
"01011",0,"10",70,0,2023,1,"211","2635.00","30633924","15080449","123903","894","11625.7776091081593928"
"01011",1,"10",71,0,2023,1,"6","31.00","523947","0","0","1300","16901.5161290322580645"
"01011",2,"10",71,0,2023,1,"10","166.67","2858426","0","0","1319","17150.5559999999999966"
"01011",3,"10",71,0,2023,1,"15","310.67","3372564","0","0","835","10855.8927038626609430"
"01011",5,"10",71,0,2023,1,"180","2126.67","23878987","15080449","123903","864","11228.3637931034482757"
"01013",0,"10",70,0,2023,1,"546","6871.67","73932859","36569790","306467","828","10759.0869269949066213"
"01013",1,"10",71,0,2023,1,"6","40.67","608900","0","0","1152","14972.9508196721311353"
"01013",2,"10",71,0,2023,1,"12","85.67","1167264","0","0","1048","13625.6498054474708118"
"01013",3,"10",71,0,2023,1,"21","702.00","8272912","114796","230","907","11784.7749287749287749"
"01013",5,"10",71,0,2023,1,"507","6043.33","63883783","36454994","306237","813","10570.9514065085493658"
"01015",0,"10",70,0,2023,1,"2770","43727.67","563941517","204964219","1168697","992","12896.675262800820"
"01015",1,"10",71,0,2023,1,"46","3422.33","59130487","0","0","1329","17277.8280899970780171"
"01015",2,"10",71,0,2023,1,"31","1731.00","24651522","0","0","1095","14241.2027729636048527"
"01015",3,"10",71,0,2023,1,"74","6286.33","74244835","1380843","3866","909","11810.5151386605864575"
"01015",5,"10",71,0,2023,1,"2619","32288.00","405914673","203583376","1164831","967","12571.688336223984"
"01017",0,"10",70,0,2023,1,"760","8599.67","101090654","44820128","258540","904","11755.1828365440520950"
"01017",1,"10",71,0,2023,1,"6","55.33","904394","0","0","1257","16344.4698795180722990"
"01017",2,"10",71,0,2023,1,"13","126.67","1503953","0","0","913","11873.3131578947368390"
"01017",3,"10",71,0,2023,1,"48","1492.67","18313676","364245","1488","944","12269.0995980348369805"
"01017",5,"10",71,0,2023,1,"693","6925.00","80368631","44455883","257052","893","11605.5784837545126354"
"01019",0,"10",70,0,2023,1,"481","5250.33","56748402","25964059","157136","831","10808.5331724969843185"
"01019",1,"10",71,0,2023,1,"10","45.33","722724","0","0","1226","15942.4411764705882470"
"01019",2,"10",71,0,2023,1,"11","78.00","948637","0","0","936","12162.0128205128205128"
"01019",3,"10",71,0,2023,1,"24","1131.00","12286856","461959","1658","836","10863.7099911582670203"
"01019",5,"10",71,0,2023,1,"436","3996.00","42790185","25502100","155478","824","10708.2545045045045045"
"01021",0,"10",70,0,2023,1,"900","9244.33","106109852","47619947","349720","883","11478.3671438358634119"
"01021",1,"10",71,0,2023,1,"7","62.67","949276","0","0","1165","15148.0212765957446728"
"01021",2,"10",71,0,2023,1,"14","252.33","3166602","0","0","965","12549.2813738441215340"
"01021",3,"10",71,0,2023,1,"35","1650.00","17005356","1746773","4918","793","10306.2763636363636364"
"01021",5,"10",71,0,2023,1,"844","7279.33","84988618","45873174","344802","898","11675.3298836889825076"
"01023",0,"10",70,0,2023,1,"366","3346.67","46747112","19174476","249551","1074","13968.2605577689243026"
"01023",1,"10",71,0,2023,1,"7","26.33","369658","0","0","1080","14037.6455696202531823"
"01023",2,"10",71,0,2023,1,"11","61.33","544210","0","0","683","8872.9891304347826135"
"01023",3,"10",71,0,2023,1,"23","359.67","3522943","206923","451","753","9795.0222428174235394"
"01023",5,"10",71,0,2023,1,"325","2899.33","42310301","18967553","249100","1123","14593.1137042998390436"
"01025",0,"10",70,0,2023,1,"759","8153.00","101417631","42901773","230350","957","12439.3022200417024408"
"01025",1,"10",71,0,2023,1,"13","62.33","1141885","0","0","1409","18319.0106951871657852"
"01025",2,"10",71,0,2023,1,"16","313.33","4304366","0","0","1057","13737.3382978723404270"
"01025",3,"10",71,0,2023,1,"37","1314.33","14179049","1799445","4415","830","10788.0159776819680449"
"01025",5,"10",71,0,2023,1,"693","6463.00","81792331","41102328","225935","973","12655.4743926968899892"
"01027",0,"10",70,0,2023,1,"241","4225.67","45791917","23212082","115065","834","10836.6136309852488758"
"01027",1,"10",71,0,2023,1,"6","41.67","625025","0","0","1154","15000.5999999999999880"
"01027",2,"10",71,0,2023,1,"9","54.33","549092","0","0","777","10105.9877300613496995"
"01027",3,"10",71,0,2023,1,"17","820.67","7887482","488913","978","739","9611.0666125101543457"
"01027",5,"10",71,0,2023,1,"209","3309.00","36730318","22723169","114087","854","11100.1263221517074645"
"01029",0,"10",70,0,2023,1,"286","2503.00","33433596","13265197","96622","1027","13357.4095085896923692"
"01029",1,"10",71,0,2023,1,"8","46.00","786283","0","0","1315","17093.1086956521739130"
"01029",2,"10",71,0,2023,1,"11","134.67","1670375","0","0","954","12403.7747524752475217"
"01029",3,"10",71,0,2023,1,"30","594.00","6652120","818804","1637","861","11198.8552188552188552"
"01029",5,"10",71,0,2023,1,"237","1728.33","24324818","12446393","94985","1083","14074.1473481195756994"
"01031",0,"10",70,0,2023,1,"1295","16695.67","184319318","92981839","413105","849","11039.9495677521111059"
"01031",1,"10",71,0,2023,1,"16","251.67","4635261","0","0","1417","18418.2556291390728452"
"01031",2,"10",71,0,2023,1,"22","481.00","5559564","0","0","889","11558.3451143451143451"
"01031",3,"10",71,0,2023,1,"43","2017.67","23434122","1907455","3950","893","11614.4665455146208490"
"01031",5,"10",71,0,2023,1,"1214","13945.33","150690371","91074384","409155","831","10805.7919734200212928"
"01033",0,"10",70,0,2023,1,"1532","23903.33","342036460","134248102","741249","1101","14309.153256170688"
"01033",1,"10",71,0,2023,1,"15","683.67","21834560","0","0","2457","31937.4353973671379799"
"01033",2,"10",71,0,2023,1,"17","615.00","7176936","0","0","898","11669.8146341463414634"
"01033",3,"10",71,0,2023,1,"49","3369.67","43265925","1339985","5960","988","12839.8234246710851715"
"01033",5,"10",71,0,2023,1,"1451","19235.00","269759039","132908117","735289","1079","14024.384663374058"
"01035",0,"10",70,0,2023,1,"274","3199.67","34464834","15954199","89197","829","10771.3826440254193144"
"01035",1,"10",71,0,2023,1,"5","24.00","367522","0","0","1178","15313.4166666666666667"
"01035",2,"10",71,0,2023,1,"12","172.33","2265562","0","0","1011","13146.3945841392649929"
"01035",3,"10",71,0,2023,1,"22","482.33","4925713","87119","174","786","10212.2591568762957851"
"01035",5,"10",71,0,2023,1,"235","2521.00","26906037","15867080","89023","821","10672.7635858786195954"
"01037",0,"10",70,0,2023,1,"156","1530.67","18332472","8398940","93465","921","11976.7891986062717767"
"01037",1,"10",71,0,2023,1,"6","16.00","255275","0","0","1227","15954.6875000000000000"
"01037",2,"10",71,0,2023,1,"13","48.33","421338","0","0","671","8717.3379310344827646"
"01037",3,"10",71,0,2023,1,"14","280.33","2428419","79399","159","666","8662.6123662306777656"
"01037",5,"10",71,0,2023,1,"123","1186.00","15227440","8319541","93306","988","12839.3254637436762226"
"01039",0,"10",70,0,2023,1,"1066","11959.00","135175215","60716989","372824","869","11303.2205870056024751"
"01039",1,"10",71,0,2023,1,"15","114.33","1995479","0","0","1343","17453.1690962099125415"
"01039",2,"10",71,0,2023,1,"17","341.67","4484777","0","0","1010","13126.1765853658536573"
"01039",3,"10",71,0,2023,1,"45","1567.33","16771324","234749","469","823","10700.5470012760527437"
"01039",5,"10",71,0,2023,1,"989","9935.67","111923635","60482240","372355","867","11264.8339316267990740"
"01041",0,"10",70,0,2023,1,"291","3411.00","36718953","18257871","214426","828","10764.8645558487247142"
"01041",1,"10",71,0,2023,1,"10","41.00","555869","0","0","1043","13557.7804878048780488"
"01041",2,"10",71,0,2023,1,"10","53.33","633554","0","0","914","11879.1375000000000074"
"01041",3,"10",71,0,2023,1,"22","557.00","6078594","252559","504","839","10913.0951526032315978"
"01041",5,"10",71,0,2023,1,"249","2759.67","29450936","18005312","213922","821","10671.9178644763860368"
"01043",0,"10",70,0,2023,1,"2198","30548.67","379583457","173904184","893477","956","12425.5327128298014924"
"01043",1,"10",71,0,2023,1,"18","190.67","3274538","0","0","1321","17174.1503496503496473"
"01043",2,"10",71,0,2023,1,"19","705.33","8621249","0","0","940","12222.9428166351606811"
"01043",3,"10",71,0,2023,1,"52","3513.67","40041711","1422745","4274","877","11395.9902286310596716"
"01043",5,"10",71,0,2023,1,"2109","26139.00","327645959","172481439","889203","964","12534.754925590114"
"01045",0,"10",70,0,2023,1,"1080","17853.33","268794252","89979219","404157","1158","15055.689992531740"
"01045",1,"10",71,0,2023,1,"37","2980.67","50960685","0","0","1315","17097.0761574591813910"
"01045",2,"10",71,0,2023,1,"14","165.67","2133625","0","0","991","12879.0241448692152892"
"01045",3,"10",71,0,2023,1,"55","1901.67","20530982","732327","2402","830","10796.3095530236634529"
"01045",5,"10",71,0,2023,1,"974","12805.33","195168960","89246892","401755","1172","15241.2244897959183674"
"01047",0,"10",70,0,2023,1,"958","11294.00","130850519","58470059","534154","891","11585.8437223304409421"
"01047",1,"10",71,0,2023,1,"18","170.00","3094134","0","0","1400","18200.7882352941176471"
"01047",2,"10",71,0,2023,1,"20","495.00","6142416","0","0","955","12408.9212121212121212"
"01047",3,"10",71,0,2023,1,"58","1551.33","16665776","331224","2916","826","10742.8723678556080793"
"01047",5,"10",71,0,2023,1,"862","9077.67","104948193","58138835","531238","889","11561.1419601219109169"
"01049",0,"10",70,0,2023,1,"1410","22346.00","273957292","129876191","609408","943","12259.7911035532086279"
"01049",1,"10",71,0,2023,1,"19","161.00","2588259","0","0","1237","16076.1428571428571429"
"01049",2,"10",71,0,2023,1,"16","554.67","5726258","0","0","794","10323.7824519230769225"
"01049",3,"10",71,0,2023,1,"59","2813.00","31167093","3387906","7239","852","11079.6633487380021330"
"01049",5,"10",71,0,2023,1,"1316","18817.33","234475682","126488285","602169","959","12460.622227733296"
"01051",0,"10",70,0,2023,1,"1691","20410.67","224774201","101318136","509404","847","11012.5849719101121797"
"01051",1,"10",71,0,2023,1,"15","198.00","3322311","0","0","1291","16779.3484848484848485"
"01051",2,"10",71,0,2023,1,"24","827.67","13344730","0","0","1240","16123.3145388642770835"
"01051",3,"10",71,0,2023,1,"49","3164.00","36708049","5435015","18984","892","11601.7853982300884956"
"01051",5,"10",71,0,2023,1,"1603","16221.00","171399111","95883121","490420","813","10566.4947290549287960"
"01053",0,"10",70,0,2023,1,"921","12656.33","163464386","67807008","375779","994","12915.6195317232479128"
"01053",1,"10",71,0,2023,1,"7","61.00","994206","0","0","1254","16298.4590163934426230"
"01053",2,"10",71,0,2023,1,"23","391.00","6020144","0","0","1184","15396.7877237851662404"
"01053",3,"10",71,0,2023,1,"43","3254.33","46455138","13055209","37361","1098","14274.8554747516132338"
"01053",5,"10",71,0,2023,1,"848","8950.00","109994898","54751799","338418","945","12289.9327374301675978"
"01055",0,"10",70,0,2023,1,"2341","32433.67","359662287","175769296","958876","853","11089.1651781584977432"
"01055",1,"10",71,0,2023,1,"19","297.33","5914247","0","0","1530","19890.9652466367713027"
"01055",2,"10",71,0,2023,1,"25","721.67","8959257","0","0","955","12414.6748267898383366"
"01055",3,"10",71,0,2023,1,"103","4061.33","44648648","3007466","11817","846","10993.5935653315824032"
"01055",5,"10",71,0,2023,1,"2194","27353.33","300140135","172761830","947059","844","10972.707835729954"
"01057",0,"10",70,0,2023,1,"372","3959.00","42924527","18351365","131802","834","10842.2649659004799192"
"01057",1,"10",71,0,2023,1,"7","38.00","496482","0","0","1005","13065.3157894736842105"
"01057",2,"10",71,0,2023,1,"9","225.33","2092434","0","0","714","9285.9497041420118357"
"01057",3,"10",71,0,2023,1,"20","896.00","9479744","164490","329","814","10580.0714285714285714"
"01057",5,"10",71,0,2023,1,"336","2799.67","30855867","18186875","131473","848","11021.2645553042028812"
"01059",0,"10",70,0,2023,1,"660","10743.67","122538234","61143311","363274","877","11405.6250814433309546"
"01059",1,"10",71,0,2023,1,"10","88.67","1438311","0","0","1248","16221.5526315789473623"
"01059",2,"10",71,0,2023,1,"16","345.67","3763476","0","0","838","10887.5872709739633548"
"01059",3,"10",71,0,2023,1,"29","1577.67","18049766","1086529","4378","880","11440.7982252271286708"
"01059",5,"10",71,0,2023,1,"605","8731.67","99286681","60056782","358896","875","11370.8739454094292804"
"01061",0,"10",70,0,2023,1,"608","5399.67","56149758","29313757","152121","800","10398.7452311871103154"
"01061",1,"10",71,0,2023,1,"11","52.33","820055","0","0","1205","15669.8407643312102011"
"01061",2,"10",71,0,2023,1,"11","79.67","910625","0","0","879","11430.4393305439330496"
"01061",3,"10",71,0,2023,1,"34","1260.67","13100846","3677543","7355","799","10391.9984135378106819"
"01061",5,"10",71,0,2023,1,"552","4007.00","41318232","25636214","144766","793","10311.5128525081108061"
"01063",0,"10",70,0,2023,1,"177","1713.33","17177395","7355975","70557","771","10025.7169260700389107"
"01063",1,"10",71,0,2023,1,"7","25.00","339941","0","0","1046","13597.6400000000000000"
"01063",2,"10",71,0,2023,1,"9","49.33","416658","0","0","650","8445.7702702702702760"
"01063",3,"10",71,0,2023,1,"21","387.67","4306873","216855","434","855","11109.7325881341358546"
"01063",5,"10",71,0,2023,1,"140","1251.33","12113923","7139120","70123","745","9680.8122003196590306"
"01065",0,"10",70,0,2023,1,"314","2579.67","29972738","11363522","59941","894","11618.8414523840289442"
"01065",1,"10",71,0,2023,1,"11","40.00","649635","0","0","1249","16240.8750000000000000"
"01065",2,"10",71,0,2023,1,"12","86.00","971699","0","0","869","11298.8255813953488372"
"01065",3,"10",71,0,2023,1,"22","742.67","7507134","1422006","3238","778","10108.3491921005385992"
"01065",5,"10",71,0,2023,1,"269","1711.00","20844270","9941516","56703","937","12182.5073056691992987"
"01067",0,"10",70,0,2023,1,"409","3853.67","45727948","21356428","77189","913","11866.0880546665513363"
"01067",1,"10",71,0,2023,1,"7","46.67","637227","0","0","1050","13654.8642857142857045"
"01067",2,"10",71,0,2023,1,"12","64.00","723930","0","0","870","11311.4062500000000000"
"01067",3,"10",71,0,2023,1,"19","624.67","6655103","468538","936","820","10653.8468516542155811"
"01067",5,"10",71,0,2023,1,"371","3118.33","37711688","20887890","76253","930","12093.5397113842864779"
"01069",0,"10",70,0,2023,1,"3487","49988.33","646147059","271013269","1334026","994","12925.957236688561"
"01069",1,"10",71,0,2023,1,"25","298.67","5525271","0","0","1423","18499.7912946428571408"
